title,country,location,date,url,skills,sectors
Développeur Mobile IOS Confirmé,Maroc,Casablanca,27/09/2021,/offre-emploi-developpeur-mobile-ios-confirme-recrutement-attijariwafa-bank-casablanca-129377.html,"['KS1231V6LZ103YM0LLL9', 'KSYO45M6II0E15Y5RP67', 'KS7G0675VN0M1HML97W0', 'KS120B874P2P6BK1MQ0T', 'ES15AEA4E1FF0B552CE3', 'ES86A20379CD2AD061F3', 'KS125LJ6SDQF89N2J4ZP', 'KS440RY76MXDWPK1WBX1', 'KSR5V7LNG1DL3C5O790P', 'KS7G8G66BTD4V8K3NCVF', 'KS4TMR7OFCW1P23C23GZ', 'KS120076FGP5WGWYMP0F', 'KSIWWZAII4AP33SDVZ2H', 'KS120ST66K9HBSZ7MPS3', 'KS123B75Z8CKNHP05L6Y', 'KS125716TLTGH6SDHJD1', 'KS440FS71DJY51ZPZR0Q', 'KS1JWYC9WNEY3RSAPQE3', 'KS120SX72T8B5VLXS1VN']",Banque / Finance
Technical Lead Java JEE,Maroc,Casablanca,27/09/2021,/offre-emploi-technical-lead-java-jee-recrutement-attijariwafa-bank-casablanca-129376.html,"['KS4424T6KPTTQ1NKM0XK', 'KS128486RZW07G8047JS', 'KS122W96T2T9J5PZ0VMP']",Banque / Finance
Développeur Full Stack Confirmé,Maroc,Casablanca,27/09/2021,/offre-emploi-developpeur-full-stack-confirme-recrutement-attijariwafa-bank-casablanca-129375.html,"['KS1226Y6DNDT05G7FJ4J', 'KS4425C7820LCHZS7VGX', 'KS441LF7187KS0CV4B6Y', 'KS125G6747QLJBX4T7MV', 'KSM72DQX6NAMAD5W02FF', 'KS120WT63K4HC6NX7QXV', 'KS120RM619V18NJXTHV1', 'KS124PR62MV42B5C9S9F', 'KS1200771D9CR9LB4MWW', 'KS7R8G2D52QH187SED9R']",Banque / Finance
Ingénieur en Informatique et Réseaux,Maroc,Rabat,27/09/2021,/offre-emploi-ingenieur-en-informatique-et-reseaux-recrutement-confidentiel-rabat-129367.html,"['KS123Z75WFFSZPXNH04Q', 'KS126K06YSWLGCMB6B0Y', 'KS1219W70LY1GXZDSKW5', 'KS122716P0Q9TPWQFJH3', 'KS123GK6Z30G7QTFCY4N', 'ES36BB7D95D0BF489852', 'KS1227K6DGHN5PZTCDD0', 'KS441X177WDQKLB79DFT', 'KS1267F6MSPN366LX7ST', 'ESFC2F3E50EB0CEA9F56', 'KS7G46R6Q0KY5FGB4RXV', 'KS1219S69HLWD9V0GPMS', 'KS123K75YYK8VGH90NCS', 'KS4417N61DB04000S10C', 'KS127D66PGZVFX2XK2N6', 'KS1243976G466GV63ZBY', 'KS7G7ZR641Z34Q7M2CZT', 'KS125PR73HNP7LH485XT', 'KS440KW75778MHJYNLV4', 'KS122VT6S2JJ5C5D80NF', 'KSJ5X4UTWD5E8CGICE8R', 'KS125716TLTGH6SDHJD1', 'KS4425C7820LCHZS7VGX', 'ES9D57895C5987C7FF78']",Informatique
Consultant Informatica (H/F),Maroc,Casablanca,27/09/2021,/offre-emploi-consultant-informatica-hf-recrutement-deloitte-nearshore-casablanca-129374.html,"['ES348D084D8A4B676598', 'KS440W865GC4VRBW6LJP', 'KS1218W78FGVPVP2KXPX', 'KS122PF6FZS3609GDG0V', 'KS1210269P78D7GH8LWY', 'KS122P063X6NGMHLP002', 'KS4425C6ZM53B0RZCD8Y', 'KS120W2749QQKD4JMM68', 'KS120GV5ZXR64CJLL1J4', 'KS121ZD6DG9JTBW0R2KJ']",Informatique
Développeur Big Data Confirmé,Maroc,Casablanca,27/09/2021,/offre-emploi-developpeur-big-data-confirme-recrutement-attijariwafa-bank-casablanca-129373.html,"['KS1226Y6DNDT05G7FJ4J', 'KS4425C7820LCHZS7VGX', 'KS1210269P78D7GH8LWY', 'KS123CZ6V1JC5FBNXX42', 'KS120WT63K4HC6NX7QXV', 'KS120GV5ZXR64CJLL1J4', 'KS1272Y6RFNZKNGWDWMB']",Banque / Finance
Coach Agile,Maroc,Casablanca,27/09/2021,/offre-emploi-coach-agile-recrutement-attijariwafa-bank-casablanca-129372.html,"['KS123B75Z8CKNHP05L6Y', 'KS1226Y6DNDT05G7FJ4J', 'KS125716TLTGH6SDHJD1', 'KSKJX44T33B6D4UCC8CB', 'ES604F3CA3845047D040', 'KS123655VLGBXHL0VPDW', 'KS127D361PF0FTXDZ7C4', 'KS120BC6BLYD8GXK5DSW', 'KS125S176W6D82NGT0Q7', 'KS441GZ6LYKDBB4VJMDZ', 'KS120626HMWCXJWJC7VK']",Banque / Finance
Data Protection Custodian,Maroc,Casablanca,27/09/2021,/offre-emploi-data-protection-custodian-recrutement-attijariwafa-bank-casablanca-127336.html,"['KS120WT63K4HC6NX7QXV', 'KS1227K6DGHN5PZTCDD0', 'KS120GV5ZXR64CJLL1J4', 'KS124VK6SPQB79SHC2XD']",Banque / Finance
Analyste Rationalisation des Coûts et des Structures Senior,Maroc,Casablanca,27/09/2021,/offre-emploi-analyste-rationalisation-des-couts-et-des-structures-senior-recrutement-attijariwafa-bank-casablanca-127452.html,"['KS1267F6MSPN366LX7ST', 'KS1203W702ND09XHKJR5', 'KS120WT63K4HC6NX7QXV', 'KS120GV5ZXR64CJLL1J4', 'KS123Y66DNRSJ1QGK9NW']",Banque / Finance
Chargé Etudes & Développement Senior,Maroc,Casablanca,27/09/2021,/offre-emploi-charge-etudes-developpement-senior-recrutement-attijariwafa-bank-casablanca-129371.html,"['KS1222362L28K2KK3J7Y', 'KS120076FGP5WGWYMP0F', 'KSM72DQX6NAMAD5W02FF']",Banque / Finance
