preferred_label,cluster_status,label_cluster_0,label_cluster_1,label_cluster_2,skill_id
remove road surface,assigned,"Engineering, Construction & Maintenance",Manufacturing & Engineering,Civil Engineering,248
types of cargo,,,,,249
knitting machine technology,,,,,250
carry out shellfish depuration procedures,,,,,251
provide humanitarian aid,,,,,252
provide pre-treatment information,assigned,"Healthcare, Social Work & Research",Healthcare,Medical Specialist Skills,253
CryEngine,,,,,254
organise rehearsals,,,,,255
produce materials for decision making,,,,,256
manage hospital-acquired infections,assigned,"Healthcare, Social Work & Research",Healthcare,Medical Specialist Skills,257
coordinate manufacturing production activities,manually_reassigned,"Engineering, Construction & Maintenance",Manufacturing & Engineering,Manufacturing & Mechanical Engineering,258
inspect airfield facilities,,,,,259
extrusion processes,clustered,"Engineering, Construction & Maintenance",Manufacturing & Engineering,Manufacturing & Mechanical Engineering,260
supervise employees in food production plants,assigned,"Engineering, Construction & Maintenance","Construction, Installation & Maintenance","Electrical, Heating & Ventilation Installation",261
fabricate V-belts,,,,,262
repair insulating tube winding machinery,,,,,263
check carriages,,,,,264
operate patients with thoracic diseases,,,,,265
assess environmental influences on bovine feet,,,,,266
install facade cladding,assigned,"Engineering, Construction & Maintenance","Construction, Installation & Maintenance",Construction,267
typology of meat parts,,,,,268
solar energy,manually_reassigned,"Engineering, Construction & Maintenance",Manufacturing & Engineering,Civil Engineering,269
eating disorders,clustered,"Healthcare, Social Work & Research",Healthcare,Psychology & Mental Health,270
operate crosscut saw,assigned,"Engineering, Construction & Maintenance",Manufacturing & Engineering,Manufacturing & Mechanical Engineering,271
put adhesive on plies,,,,,272
customer insight,clustered,Sales & Communication,Communication,Marketing,273
crimping,clustered,"Engineering, Construction & Maintenance",Manufacturing & Engineering,Electrical Engineering,274
handle bulk transfer of raw material,,,,,275
critique the dive with the dive team,,,,,276
monitor crops,,,,,277
use CAD for soles,,,,,278
create 3D environments,assigned,Information & Communication Technologies,Information & Communication Technologies,Web & Software Development,279
perform online data analysis,manually_reassigned,Information & Communication Technologies,Information & Communication Technologies,Data Analytics,280
create floor plan template,,,,,281
test paper production samples,,,,,282
manage land resources permits,,,,,283
manage IT security compliances,,,,,284
negotiate with suppliers for visual material,,,,,285
manage process of flexographic print,assigned,"Engineering, Construction & Maintenance",Manufacturing & Engineering,Manufacturing & Mechanical Engineering,286
electrical mine machinery manuals,,,,,287
footwear finishing techniques,,,,,288
load animals for transportation,,,,,289
perform venepuncture procedures,assigned,"Healthcare, Social Work & Research",Healthcare,Public Health Administration,290
load film,,,,,291
handle refrigerant transfer pumps,,,,,292
collect dead fish,,,,,293
design sprinkler systems,assigned,"Engineering, Construction & Maintenance",Manufacturing & Engineering,Civil Engineering,294
identify statistical patterns,,,,,295
surgical instruments,clustered,"Healthcare, Social Work & Research",Healthcare,Medical Specialist Skills,296
measure sugar refinement,,,,,297
carry out products preparation,assigned,"Food, Cleaning & Hospitality","Food, Cleaning & Hospitality","Food, Hospitality & Beauty Services",298
teach archaeology,,,,,299
operate oil pumping systems,,,,,300
operate middlings purifier,,,,,301
understand the animal's situation,,,,,302
molecular and cellular immunology,,,,,303
monitor curriculum implementation,assigned,"Healthcare, Social Work & Research",Healthcare,Medical Specialist Skills,304
harvest grapes,,,,,305
identify the dietetic professional quality of care,,,,,306
monitor tank thermometer,,,,,307
workplace sanitation,manually_reassigned,"Engineering, Construction & Maintenance","Construction, Installation & Maintenance",Workplace Safety Management,308
operate centrifuges,,,,,309
organise harvests,,,,,310
transfer kiln-baked products,,,,,311
remove snow from airport operational areas,,,,,312
deal with unforeseen incidents in hospitality,,,,,313
maintain cutting equipment,,,,,314
wet tumbling,,,,,315
calculate optimal time for insemination,,,,,316
translate keywords into full texts,,,,,317
lead the dental team,assigned,"Healthcare, Social Work & Research",Healthcare,Medical Specialist Skills,318
sterilise working environment,,,,,319
keywords in digital content,,,,,320
apply related sciences to music therapy,,,,,321
legal studies,assigned,"Business Administration, Finance & Law",Finance & Law,Law,322
alter management,assigned,"Business Administration, Finance & Law",Business Administration,Business & Project Management,323
theoretical lexicography,,,,,324
manage children's problems,,,,,325
operate grease gun,,,,,326
demonstrate proficiency in packaging standards,,,,,327
advise on consumer rights,,,,,328
model medical devices,,,,,329
mark film reels,,,,,330
energy market,clustered,"Business Administration, Finance & Law",Finance & Law,Financial Services,331
engineer seismic equipment,,,,,332
stack timber,,,,,333
manage a healthcare unit budget,manually_reassigned,"Business Administration, Finance & Law",Finance & Law,Accounting,334
cultivate crops for biomass,,,,,335
use experience map,assigned,Sales & Communication,Communication,Marketing,336
protection from natural elements,,,,,337
general principles of food law,assigned,"Business Administration, Finance & Law",Finance & Law,Financial Services,338
manage technical aspects of vineyard production,,,,,339
use a water-fed pole system,,,,,340
manage sport facility finances,,,,,341
mergers and acquisitions,clustered,"Business Administration, Finance & Law",Finance & Law,Financial Services,342
manage government-funded programmes,manually_reassigned,Transversal skills,General Workplace Skills,General Workplace Skills,343
horse racing regulation,assigned,Education,Education,Extracurricular & Sports Activities,344
captioning software,,,,,345
place orders for clothing merchandise,,,,,346
operate tissue sheet binder,,,,,347
provide medicines information,,,,,348
cooperate with education professionals,assigned,Education,Education,Learning Support,349
insert semen,,,,,350
technical equipment for crop production,,,,,351
operate warehouse materials,assigned,"Engineering, Construction & Maintenance",Manufacturing & Engineering,Manufacturing & Mechanical Engineering,352
normalise data,assigned,Information & Communication Technologies,Information & Communication Technologies,Data Analytics,353
interact verbally in Occitan,,,,,354
safe use of pesticides,,,,,355
respond to visitor complaints,,,,,356
interact verbally in Czech,clustered,Transversal skills,Languages,Languages,357
stock tobacco products machines with materials,,,,,358
glass tempering,,,,,359
electrooptic devices,,,,,360
electron beam welding machine parts,,,,,361
work in an international environment,clustered,"Business Administration, Finance & Law",Business Administration,Business & Project Management,362
inspect silo systems,,,,,363
display betting information,,,,,364
ensure compliance with port regulations,,,,,365
understand written Ukrainian,,,,,366
theories of personality,,,,,367
inspect drilling equipment,,,,,368
respect publication formats,,,,,369
use snow-removal equipment,,,,,370
create prototype of user experience solutions,,,,,371
wear cleanroom suit,,,,,372
monitor stamp machine,,,,,373
apply system organisational policies,,,,,374
propose ICT solutions to business problems,,,,,375
start up chocolate moulding line,,,,,376
calculate costs of repair operations,assigned,Sales & Communication,"Procurement, Logistics & Trade",Procurement,377
manage different pottery materials,,,,,378
interpret scientific data to assess water quality,,,,,379
tolerate strong smells,,,,,380
create sculptures,,,,,381
typography,clustered,Sales & Communication,Communication,Multimedia & Product Design,382
plan procedures for cargo operations,assigned,Sales & Communication,"Procurement, Logistics & Trade",International Trade,383
